number,short_description,description,urgency,state,story_points,acceptance_criteria,comments_and_work_notes,impact,priority,assigned_to,parent,active,backlog_type,assignment_group,product,sprint
891632,"Technical Work - Install TRM-approved Power BI Reports Server","Technical Work - Evaluate Microsoft PowerBI tool",4 - Low,Invalid,0 pts,"Acceptance Criteria:
1. Request Power BI Reports Server to BISL (Namrata)



from 02/26/2019:
1. Store data in Power BI","",Minor,Unassigned,"Unassigned",rtcSprint00000031,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000031
979320,"As a VIP Dashboard user, I want to have my technical issues in the production environment resolved so that I can use all dashboard functionality [OY1 Sprint 16]",".",2 - High,Done,0 pts,"","",Significant,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000031,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000031
979322,"Deployment and release activities [OY1 Sprint 16]",".",2 - High,Done,0 pts,"","",Significant,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000031,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000031
969562,"As a Sustainment Product Manager, I want a new report for Sustainment Products",".",3 - Medium,Done,5 pts,"Acceptance Criteria:
-New report for Sustainment Products to update Directors on staff compliance with data entry
-Ability to filter records by Managing Portfolio
-Ability to filter records by Last Modified Date (this may need to be a separate user story)
-Ability to display ""Percentage of Complete"" (anywhere from 25-100%)
-Report should only display product records
-Report should mirror ""VIP Projects Report,"" but only with relevant product fields and using ""Product"" instead of ""Project""
-Fields should include filters for: VASI ID, Name, Fiscal Year, EPS Code, Investment Name, VIP Phase, Managing Investments
-Remove products from ""VIP Projects Report""


User Story Questions:
-Determine how to discern and display Last Modified Date
  -Is it anything that is modified in the Product?
  -Should it display what was modified?
-How to define ""Percentage Complete?""
-Need name of report (""Sustainment Products by Managing Portfolio""?)
-Need a mock-up of this report (ACTION: Megan)","",Moderate,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000031,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000031
961297,"Technical Work - Finalize Performance Metric automation script for Edit Revise",".",4 - Low,In Progress,0 pts,"","",Moderate,Unassigned,"Barua, Shubra (Vidoori)",rtcSprint00000031,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000031
640765,"As an Investment Manager, I want to have a tab in the Investment view displaying all projects associated with the investment","per Felicia during 12/13/17 meeting:

""Mainly, as investment managers, we want to: 1) have a tab in investment view that displays all projects under/associated with the investment, 2) have the ability to export list of projects from that project tab in investments, as well as ability to export list of metrics, list of PMAs, list of risks (basically those tabs in investment view).""


See attached document provided by Donna Quinn on 01/26",3 - Medium,Done,5 pts,"Final Acceptance Criteria:
	-Add new tab after â€œRevisionsâ€?
	-Display the Project ID, Project Name, Current EPS Code, and link to the Project Summary page
	-Sort capabilities for each field
	-Add ability to change number of items displayed
	-Show closed activities in red
	-No ability to export to Excel (this should only be for Reports & Data module)
Acceptance Criteria from 03/06 mtg:
	-Would prefer as an extra tab in order to save page real estate
	-New requirements:
	-Add new tab after â€œRevisionsâ€?
	-Display the Project ID, Project Name, Current EPS Code, and link to the Project summary page
	-Sorted by future and currently active projects first, followed by closed projects (where the end date of the last Activity is most recent)
	-Filter fields:
	-Add ability to change number of items displayed
	-Show closed activities in red
	-Show future activities in greenAcceptance Criteria from 02/27/2019 BLG meeting:
-On Investment List page, list all the projects under the investment as a tree structure
-Provide link to go to the project record
-Which fields for the project record need to be shown in the tree structure? Should it be the same as the VIP Entries listings?



Acceptance Criteria from 12/13/17 meeting:

-In the investment module from the [newly created] Project tab
-Ideally there would be a button or hyperlink to the projects
-Export as Excel list
-Export request on Revise tab, Performance Metrics and Actuals tab, and Risks
-Discuss finer details at a later date


Per Felicia during 12/13/17 meeting:

""Mainly, as investment managers, we want to: 1) have a tab in investment view that displays all projects under/associated with the investment, 2) have the ability to export list of projects from that project tab in investments, as well as ability to export list of metrics, list of PMAs, list of risks (basically those tabs in investment view).""


Dev Team questions from 12/28/17:
1. What information should be included for the export?
2. Which fields and information for projects and PMAs and actuals?
3. Need to discuss further and define expectations, especially regarding Excel exporting (potentially affecting the design of the dashboard)
4. This may potentially be covered with the CIO Rating Report","1. Rothman, Daniel R. (Government CIO) - Jan 26, 2018, 2:23 PM
Added: attachment 97198 (\\VACOAPVCPM1001.dva.va.gov\FolderRedirection$\DVA\vacorothmd2\Documents\Inv Outlook Report_data elements.xlsx)",Moderate,Unassigned,"Edwards, William G. (GovernmentCIO)",rtcSprint00000031,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000031
928951,"As a Sustainment Manager, I want to have the quarter records created automatically when I move from Initiation to O&M Phase so that I don't have to enter in manually","

As a Sustainment Manager, I want to have the quarter records created automatically when I move from Initiation to O&M Phase so that I don't have to  
enter in manually",2 - High,Done,5 pts,"Acceptance Criteria:
1. When product is send to O&M phase, user should see the quarters in the quarter grid with the date automatically populated
2. All the business logic for quarter dates and costs should be applied similar to the Initiation Phase
3. Dates for Planned & Projected Quarter Start/Completion Dates should automatically be populated AND disabled
4. Confirm that Planned Cost data entry will automatically populate Projected Cost for Quarter
5.Confirm that all planned Quarter costs do not exceed the ""Product Annual Cost""
6. Remove ""Add Quarter"" button","",Major,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000031,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000031
979059,"April OMB Submission",".",3 - Medium,Resolved,8 pts,"","",Moderate,Unassigned,"Nair, Sindhu (Vidoori)",rtcSprint00000031,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000031
711936,"As a Project Manager, I want to have validations updated to move from the Project Phase to Closed-Stopped Phase","As a Project Manager, I want to have validations updated to move from the Project to Closed-Stopped Phase",3 - Medium,Ready for Review,5 pts,"Acceptance Criteria (08/01):
-Will need a pop-up (like the one when sending to Product Phase) that will populate with the â€œClose Out Phase Start Date (Actual)â€? for the â€œProject Phase Completion Date (Actual)â€? when user selects to move the project to the Close-Stopped Phase
-User would need the ability to add the actual costs for the Project Phase in this pop-up; would not be a required field to move to the next Phase
-Provide option to revise Project Phase Cost (Actual) on Product Phase page only when project is in Close Out Phase Close-Stopped phase","",Moderate,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000028,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000028
942115,"Deployment and release activities [OY1 Sprint 13]",".",2 - High,Resolved,0 pts,"","",Major,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000028,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000028
922060,"As a Sustainment Manager, I want to have business rules to the O&M pages so that I can generate reports","As a Sustainment Manager, I want to have business rules to the O&M page so that I can generate reports",3 - Medium,Ready for Review,5 pts,"Acceptance Criteria:

-On Initiation Phase, all required fields are needed before saving an O&M record
-Total of all planned quarter costs should not exceed project lifecycle cost
-All quarter dates should not be editable
- Add rule where Actual and Projected Date for the quarter Start and End canâ€™t be before/after the start/end dates of the Quarter (e.g., Q1 canâ€™t start before 10/1 and canâ€™t end after 12/31) 
-Remove the partial save from sustainment records on the Initiation Phase

 ","",Moderate,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000028,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000028
796654,"As a Project Manager, I want to have validations updated to move from the Initiation Phase to Closed-Stopped Phase","Response from Donna Quinn (01/23/19):

We need to have the PM change the project IsActive field to No. It still has to be OMBR yes in order to send that deactivation to OMB to remove the record at OMB (no longer active). This would be for projects that we no longer intend to proceed with as planned for whatever reason.
 
When the parent activity (project) is deactivated, the child activity (project phase) is automatically removed as well. No parent, no child.
 
Does that clear things up? The closeout activity will not be reported as well.
 
The entry will stay in the VIP DB for historical purposes.",3 - Medium,Ready for Review,3 pts,"Acceptance Criteria (from 03/20 req mtg):
-If record has last submitted to OMB date, then go through deactivation process
-If record does not have last submitted to OMB date, then not needed
  -Can send to Close-Stopped without validations
-Pop-up message stating ""If this project was reported to OMB, and is moving from Initiation to Closed-Stopped, please contact your PPO IA to determine if additional actions are necessary.""
-Pop-up would only have one date field (Close Out Phase Actual Start Date)


Acceptance Criteria:
-Add validation to ensure the that user deactivates project before sending it to the Close Out Phase -Closed-Stopped phase
-Once the user performs this, the Project Phase Activity will be deactivated during OMB submission
Project Phase Activities have been removed from OMB reporting
-If reported to OMB, project activity would need to be deactivated; if not submitted to OMB, does not need to be deactivated

Questions: is PPO fully aware that deactivating projects will remove them from the OMB database?

Action Items:
1. Confirm with PPO what do they mean by deactivating projects? Do they want them to be removed from the OMB database, which is what happens when deactivated and sent to OMB? Do we instead need to deactivate project and set the OMB Reportable field to ""No""?
-yes to deactivate","",Moderate,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000028,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000028
922098,"As a Sustainment Manager, I want to view a Budgeting table in the Product Summary page so that the information is printable","As a Sustainment Manager, I want to view a Budgeting table in the Product Summary page so that the information is printable",3 - Medium,Ready for Review,3 pts,"Acceptance Criteria:
	-Ability to view Budgeting table to summary page (above Product Quarter section)
	-Sequence of table should follow O&M page
	-Font on printable page should follow font for other data","",Moderate,Unassigned,"Edwards, William G. (GovernmentCIO)",rtcSprint00000028,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000028
926594,"Monthly OMB Submission",".",3 - Medium,New,0 pts,"","",Moderate,Unassigned,"Unassigned",rtcSprint00000028,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000028
796649,"As a Project Manager, I want to have validations updated to move from the Product Phase to Closed-Stopped Phase",".",3 - Medium,Ready for Review,3 pts,"Acceptance Criteria (discussed 08/08):
-Will need a pop-up (like the one when sending to Product Phase) that will populate with the â€œClose Out Phase Start Date (Actual)â€? when user selects to move the project to the Close-Stopped Phase
-Will be a required field
-Business rules:
1. Actual Date cannot be in the future
2. Date cannot be before Project Start Date (Actual) 
 ","",Moderate,Unassigned,"Kolluru, Krishna K. (GovernmentCIO)",rtcSprint00000028,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000028
903345,"As a Sustainment Manager, I want to see costing information on the O&M page so I can report to Management","TRS wants the costing information added to the O&M page, per their original mock-up.
 
Requested = Funding Requested during BOP or MYP activities
Actuals: Amounts identified in BTT for the product",3 - Medium,Ready for Review,8 pts,"Acceptance Criteria:
	-All costs are editable
	-Ability to view seven years totals to cover current year and the BOP
	-Current Year (BOP): FY2019
	-Next Year: FY2020
	-MYP Year 1: FY2021
	-MYP Year 2: FY2022
	-MYP Year 3: FY2023
	-MYP Year 4: FY 2024
	-MYP Year 5: FY 2025
	-Whichever year is selected, the previous seven years will show
	-by default, the current FY should display
	-Calculations for UFR are implemented (see attached email)
	-Only calculate a UFR if Actuals are less than Requested
	-Costs are shown in millions","1. Cleaver, PJ - Jan 11, 2019, 9:32 AM
Added: attachment 138941 (TRS-VIP-Dashboard-Concept-v1 (002).pptx)

2. Rothman, Daniel R. (Government CIO) - Feb 5, 2019, 1:28 PM
Added: attachment 141837 (\\VACOAPVCPM1001.dva.va.gov\FolderRedirection$\DVA\vacorothmd2\Documents\FW Updated VIP OM list.msg)",Significant,Unassigned,"Edwards, William G. (GovernmentCIO)",rtcSprint00000028,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000028
855793,"Technical Work - Review approved performance testing tools","Technical Work - Review approved performance testing tools",3 - Medium,In Progress,0 pts,"Acceptance Criteria:
 
	-Performance testing tool is selected","",Moderate,Unassigned,"Unassigned",rtcSprint00000027,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
855944,"Technical Work - Configure Jenkins within development environment","Technical Work - Configure Jenkins within development environment",3 - Medium,In Progress,8 pts,"Acceptance Criteria:
 
	-Jenkins is installed in dev environment
	-Active Directory is integrated with Jenkins
	-Complete documentation for configuration of Jenkins
	-Integrate Jenkins with TFS
	-Integrate selected unit and test automation tests into Jenkins","",Moderate,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000027,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
909866,"Monthly OMB Submission (January 2019)","Monthly OMB Submission (January 2019)",2 - High,Done,5 pts,"","",Major,Unassigned,"Unassigned",rtcSprint00000027,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
639652,"As a Project Manager, I want to enter a required date before moving to the Closeout Complete so that the project record accurately reflects the current phase","As a Project Manager, I want to enter a required date before moving to the Project Phase so that the project record accurately reflects the current phase.",2 - High,Ready for Review,8 pts,"Acceptance Criteria:
-On the ""Send to Close Out Phase"" pop-up, when the user selects, ""Yes"" for ""Have you completed your final build?""  and then selects the ""Send to Close Out Phase (Completed)"" button, the pop-up will refresh with additional required fields for the list of builds (if any) that do not have Actual End Dates
-If satisfied, will ask user to add other projected and planned costs/dates","1. Rothman, Daniel R. (Government CIO) - Dec 13, 2017, 2:47 PM
Copied from work item 639645.",Moderate,Unassigned,"Kolluru, Krishna K. (GovernmentCIO)",rtcSprint00000027,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
907090,"As a VIP Dashboard user, I want to be able to search by the VASI and VIPR IDs on the ""Manage VIP Entries"" page for Projects","As a VIP Dashboard user, I want to be able to search by the VASI and VIPR IDs on the ""Manage VIP Entries"" page for Projects",3 - Medium,Ready for Review,3 pts,"Acceptance Criteria:
-Applies ""Projects"" radio button selection on Manage VIP Entries page
-Ability to use VASI text box for searching
-Ability to use VIPR text box for searching
-Ability to view VASI and VIPR fields to the existing projects table (display as separate columns)
 ","",Moderate,Unassigned,"Kolluru, Krishna K. (GovernmentCIO)",rtcSprint00000027,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
925354,"Deployment and release activities [OY1 Sprint 12]","Deployment and release activities [OY1 Sprint 10]",2 - High,In Progress,0 pts,"","",Significant,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000027,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
902323,"As a Project Manager, I want to view rollover definitions for releases so that I select the appropriate release type","Test - A setup of software and hardware on which the test teams evaluate newly built, configured and/or developed IT solutions.
Pre-Production - a staging area prior to releasing into live production environment.
Production - the setting where software and other IT products are put into operation for their intended use.IOC - Production environment specific to VAâ€™s VistA application",3 - Medium,Ready for Review,5 pts,"Acceptance Criteria:
	-When creating or editing a release for a VIP project, ""Release Type"" description should display when hovering over drop-down type
	-Descriptions include the following:
	-
Test - A setup of software and hardware on which the test teams evaluate newly built, configured and/or developed IT solutions.
PreProd - a staging area prior to releasing into live production environment.
Production - the setting where software and other IT products are put into operation for their intended use.IOC - Production environment specific to VAâ€™s VistA application","",Moderate,Unassigned,"Edwards, William G. (GovernmentCIO)",rtcSprint00000027,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
907102,"As a VIP Dashboard user, I want to see the VIPR and VASI IDs on the Project Summary page","As a VIP Dashboard user, I want to see the VIPR and VASI IDs on the Project Summary page",3 - Medium,Ready for Review,3 pts,"Acceptance Criteria:
1.  Mirror the Sustainment ""Product Summary"" page
2.  Create separate section for ""VASI and VIPR Information""
3. Add VASI and VIPR ID information (stored on EPS module)","",Moderate,Unassigned,"Kolluru, Krishna K. (GovernmentCIO)",rtcSprint00000027,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
620701,"As a VIP Dashboard user, I want the homepage to load faster","As a VIP Dashboard user, I want the homepage to load images faster",3 - Medium,Ready for Review,8 pts,"Acceptance Criteria:

-Add images to SharePoint library for faster page loading times
-Keyboard use for home page announcements is implemented for 508 compliance
-Home Page will work as it does now, but the page loading time will improve
 ","",Moderate,Unassigned,"Edwards, William G. (GovernmentCIO)",rtcSprint00000027,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
891636,"Technical Work - Update master requirements documents for data elements in VIP Dashboard","Technical Work - Update master requirements documents for data elements in VIP Dashboard",4 - Low,In Progress,8 pts,"Acceptance Criteria:
	-Capture all fields and tags within the VIP Dashboard within an Excel spreadsheet (Name of Field, OMBR, Required, Revisable, Description)","1. Rothman, Daniel R. (Government CIO) - Dec 31, 2018, 1:09 PM
Added: attachment 137514 (\\VACOAPVCPM1001.dva.va.gov\FolderRedirection$\DVA\vacorothmd2\Documents\FW Important VIP Dashboard Data Dictionary.msg)",Minor,Unassigned,"Perdue, Megan A. (Grant Thornton)",rtcSprint00000026,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000026
864656,"Technical Work - Refactor selected source code","Technical Work - Refactor selected source code",4 - Low,New,5 pts,"Acceptance Criteria:
	-Review and refactor source code for all VIP Dashboard modules","",Minor,Unassigned,"Unassigned",rtcSprint00000026,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000026
891616,"Technical Work - Review Test-Driven Development","Technical Work - Review Test-Driven Development",4 - Low,In Progress,5 pts,"Acceptance Criteria:
 
	-Training for TDD is completed
	-Proof of concept is completed","",Minor,Unassigned,"Unassigned",rtcSprint00000026,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000026
891631,"Technical Work - Analyze 508 audit report and testing tool","Technical Work - Analyze 508 audit report and testing tools",4 - Low,Reviewed,8 pts,"Acceptance Criteria:
 
	-Audit report is analyzed by dev team and user stories/defects are created in product backlog
	-VA approved 508 testing tool is selected","",Minor,Unassigned,"Perdue, Megan A. (Grant Thornton)",rtcSprint00000026,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000026
850793,"Technical Work - Implement new alert pop-up messages in VIP Dashboard application","Technical Work - Implement new alert pop-up messages in VIP Dashboard application",4 - Low,In Progress,5 pts,"Acceptance Criteria:
	-Implement new alert boxes in VIP Dashboard across all modules
	-Test automation is able to interact with alert boxes","",Minor,Unassigned,"Unassigned",rtcSprint00000026,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000026
903572,"As a VIP Dashboard user, I want to have my technical issues in the production environment resolved so that I can use all dashboard functionality [OY1 Sprint 11]",".",2 - High,In Progress,0 pts,"","",Major,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000026,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000026
893000,"Technical Work - Create data sheet for test automation","Technical Work - Create data sheet for test automation",4 - Low,New,5 pts,"Acceptance Criteria:
	-Test cases are able to read from Excel spreadsheet by gathering data to input into VIP Dashboard
	-Minimum of three test cases developed","",Minor,Unassigned,"Unassigned",rtcSprint00000026,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000026
891620,"Technical Work - Review Behavior-Driven Development","Technical Work - Review Behavior-Driven Development",4 - Low,New,5 pts,"Acceptance Criteria:
	-Complete training on BDD
	-Install Specflow into Visual Studio
	-Proof of concept is completed","",Minor,Unassigned,"Unassigned",rtcSprint00000026,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000026
852352,"As a Sustainment Project Manager, I want to manage sustainment project records in the VIP Dashboard so that I can search, view, and/or edit the records","As a Sustainment Project Manager, I want to manage sustainment project records in the VIP Dashboard so that I can search, view, and/or edit the records",2 - High,In Progress,3 pts,"Acceptance Criteria:

-Records for users have edit rights to sustainment project records (product managers, secondary contact, and additional users) are displayed at the top of the grid by default
-Default pagination for list of sustainment records is 50
-Default sort for list of records is Product ID (excluding records that users have edit rights to)","",Moderate,Unassigned,"Edwards, William G. (GovernmentCIO)",rtcSprint00000025,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000025
852353,"As a Sustainment Project Manager, I want to view a project summary for my sustainment project so that I can see view and print project information in one page","As a Sustainment Project Manager, I want to view a project summary for my sustainment project so that I can see view and print project information in one page

 ",3 - Medium,New,5 pts,"Acceptance Criteria (use from original PS page)
-Name the page ""Product Summary""
-Add ""Product Summary"" button to the currently named ""Manage Existing Projects"" page (will be called ""Manage VIP Entry"" page)
-Add ""Product Summary"" button to bottom of product record page","",Moderate,Unassigned,"Kolluru, Krishna K. (GovernmentCIO)",rtcSprint00000025,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000025
